Country,Language Name,Language Code,Population Group,Language Vitality,Scripture,Active Translation,Year Scripture Published
Bhutan,Nupbikha,npb,1000 - 4999,Vigorous,,Not Shown,
Bhutan,Gongduk,goe,1000 - 4999,In_Trouble,,Not Shown,
Niger,Tetserret,tez,1000 - 4999,In_Trouble,,Not Shown,
Bhutan,Chalikha,tgf,1000 - 4999,In_Trouble,,Not Shown,
Bangladesh,Kol,ekl,1000 - 4999,Vigorous,,Not Shown,
Bangladesh,Chak,ckh,1000 - 4999,Vigorous,,Not Shown,
Sudan,Warnang,wrn,1000 - 4999,In_Trouble,,Not Shown,
Sudan,Tocho,taz,1000 - 4999,In_Trouble,,Not Shown,
Sudan,Talodi,tlo,1000 - 4999,Dying,,Not Shown,
Sudan,Logorik,liu,1000 - 4999,In_Trouble,Stories,Not Shown,2004.0
Sudan,Ko,fuj,1000 - 4999,In_Trouble,,Not Shown,
Sudan,Dair,drb,1000 - 4999,Dying,,Not Shown,
Sudan,Afitti,aft,1000 - 4999,In_Trouble,,Not Shown,
Pakistan,Chilisso,clh,1000 - 4999,Dying,,Not Shown,
Afghanistan,Sanglechi,sgy,1000 - 4999,Vigorous,,Not Shown,
Afghanistan,Ishkashimi,isk,1000 - 4999,Vigorous,,Not Shown,
Afghanistan,Shumashti,sts,1000 - 4999,Vigorous,,Not Shown,
Algeria,"Tamazight, Tidikelt",tia,1000 - 4999,Dying,,Not Shown,
Afghanistan,Tregami,trm,1000 - 4999,Vigorous,,Not Shown,
Algeria,Korandje,kcy,1000 - 4999,In_Trouble,,Not Shown,
Pakistan,Ushojo,ush,1000 - 4999,In_Trouble,,Not Shown,
Pakistan,Kabutra,kbu,1000 - 4999,In_Trouble,,Not Shown,
Pakistan,Gowro,gwf,1000 - 4999,In_Trouble,,Not Shown,
Maldives,Maldivian Sign Language,MV75,1000 - 4999,Developing,,Not Shown,
Iran,Lasgerdi,lsa,1000 - 4999,Vigorous,,Not Shown,
Mauritania,Zenaga,zen,1000 - 4999,Dying,,Not Shown,
Morocco,Sign Language in Oujda,MA89,1000 - 4999,Vigorous,,Not Shown,
Somalia,Boon,bnl,1 - 999,Dying,,Not Shown,
Yemen,Hobyót,hoh,1 - 999,Dying,,Not Shown,
Tunisia,Sign Language in Burj al-Salhi,TN86,1 - 999,Vigorous,,Not Shown,
Turkey,Mardin Sign Language,dsz,1 - 999,Dying,,Not Shown,
Turkey,Hértevin,hrt,1 - 999,Dying,,Not Shown,
Turkey,Domari,rmt,1 - 999,In_Trouble,Stories,Not Shown,2019.0
Turkey,Çukurova Sign Language,TR92,1 - 999,Vigorous,,Not Shown,
Turkey,Central Taurus Sign Language,TR87,1 - 999,Vigorous,,Not Shown,
Sudan,Kelo,xel,1 - 999,Dying,,Not Shown,
Sudan,El Hugeirat,elh,1 - 999,Dying,,Not Shown,
Sudan,Tima,tms, ,Dying,,Not Shown,
Sudan,Nding,eli,1 - 999,In_Trouble,,Not Shown,
Sudan,Molo,zmo,1 - 999,Dying,,Not Shown,
Sudan,Aka,soh,1 - 999,Dying,,Not Shown,
Pakistan,Aer,aeq,1 - 999,In_Trouble,,Not Shown,
Pakistan,Dawoodi,dmk,1 - 999,Dying,,Not Shown,
Pakistan,Bhaya,bhe,1 - 999,In_Trouble,,Not Shown,
Pakistan,Kundal Shahi,shd,1 - 999,Dying,,Not Shown,
